Kind,Variant,Particles,Iters,Evals,Mean fitness,Std,Stagnates at
size,swarm =   1,1,3030,3030,76.78120260832176,6.65889921342275,212.53333333333333
size,swarm =   2,2,1515,3030,88.02427967107252,2.670825173162451,402.46666666666664
size,swarm =   5,5,606,3030,89.95730956600633,0.17927969298255533,273.06666666666666
size,swarm =  10,10,303,3030,89.80434946262328,0.335649930242603,164.33333333333334
size,swarm =  15,15,202,3030,89.95279863549325,0.1995430437385238,125.26666666666667
size,swarm =  30,30,101,3030,89.90547828130998,0.2571850887905754,82.6
size,swarm = 101,101,30,3030,89.73739101811134,0.35067039906159075,28.8
size,swarm = 303,303,10,3030,89.54668780567111,0.26874654451030194,8.6
topology,no communication (c2 = 0),30,101,3030,87.38310587083606,1.00103634597561,56.3
topology,fully connected (gbest),30,101,3030,89.88178071712296,0.27874319689914095,83.53333333333333
topology,"ring, k = 1",30,101,3030,89.99137630438712,0.0286743814076602,98.5
topology,"ring, k = 3",30,101,3030,90.00470185662729,0.003316436367625979,96.26666666666667
