Group,Setting,Regret % (mean),Regret % (std)
Learning rate,polynomial  1/(1+n)^0.7,25.065003766756032,2.1012342885924298
Learning rate,polynomial  1/(1+n)^0.5,28.16609891441037,5.911637117488921
Learning rate,constant  alpha = 0.10,50.429242474865,2.8472279801946163
Learning rate,constant  alpha = 0.50,57.855517682860864,3.748066240790049
Exploration,epsilon floor = 0.01,30.591747522443228,5.6929506824476475
Exploration,epsilon floor = 0.05,25.065003766756032,2.1012342885924298
Exploration,epsilon floor = 0.2,27.513627540412145,5.31457732535445
Exploration,exploring starts OFF,76.73481703726479,7.042705131007335
Initialisation,Q init = 0  (optimistic here),25.065003766756032,2.1012342885924298
Initialisation,Q init = -200 (pessimistic),21.049673966729163,1.2999314148282215
Discount factor,gamma = 0.9,19.538530787707675,1.4435442403935355
Discount factor,gamma = 0.95,25.768379407864742,1.3482083996792769
Discount factor,gamma = 0.99,25.065003766756032,2.1012342885924298
